Algorithm,Ciphertext,PlaintextLen,KeyLen,BlockSize,IVLen,Mode,Entropy,HexRatio,ByteMean,ByteStd
AES,FE49CD928FE3E3204280C2CF5CA7E101AAFF42E594F9DC7F223BA82AD5EB5C855E155F14F8F7D7C401EECF0BB4A831171E91053CA036E28FEEDF7F04612B7576,32,16,16,16,CBC,3.906309328571487,1.0,134.84375,80.88885483141358
DES,9A71B2B3941A53F67A7578158650FF67BBB7DDACD43500CA15B82B0B283A3D19BCFD821DF5987CF7CAE6B9653EAC683A,32,8,8,8,CBC,3.895274059401027,1.0,129.875,74.62702398148632
3DES,D22B4C9B80533E56F7BB694011C55CB7E53A8DB6BD6BF269116911EEFE2905E5A41109F7827053ADD8100EFE2351F67E,32,24,8,8,CBC,3.905756158779246,1.0,125.35416666666667,80.49003291902393
Blowfish,CF40E420781A0A527F063DF28A1BD935367B3B78F7D8B813E5AAA2799EE5E75A6D75C6196C2DC0FB59FDAFBCEF806B4C,32,16,8,8,CBC,3.9605309605103023,1.0,132.33333333333334,75.81153532866148
RSA,2A3DA8B776A80B7F6EC866C5385AD17379C08238F814F7A78B5E19E3D59C0EB0DD37A644E0B96B91FE74B6D6B365FD6D3B40DAC3A04456EBBE4529F3219DF5581E6AA2F86E03A02E69DC715166A11543D9AF4197F41AC9C6D149EF3D8F2A57F40F2F6155CBB2A187935F6BC13E568E4EE5A1A00E41FA83B56AB92B0A6952BB90948BB5E6FE51A9223BAEDD429E323723C4BAA6BDD673623CD981892BA42B563CA63C2F764425D7517C8DAED9F4D94C53BF33F76503546C2C15AECBA0275D8592B606434976381FC4F74E55A7C3F60CACCF30F8B67DBA5293C93C1237EB6895E691EB5A92F1E553BEF230A42DF3B181B3281B3EBB50D29034E82558FAD07D1C0C,32,2048,0,0,Asymmetric,3.981818295463495,1.0,130.87890625,70.9370662457485
ECC,315A94EE8859711A087DE87357D0B30381B4C5142696ED2545C26A3611DB82F9C3F316313DD4F8B9EF611F744C5E27FE5A11CA74FBDA4429BA18FCECB710575A,32,256,0,0,Asymmetric,3.940747271609163,1.0,126.71875,79.98915331741861
Diffie-Hellman,9B40C96BBC6893272F3222552470482505ACC203D902CEEC51756E693B94B2E51F9FFC96ABB2ED6BF56F828CF44E4B0B7DF15D9657DF9402B98CDF40CB1AEBCB1C340B35F81F72DBCABD6B39ECD3AF3E692141CAE09613FF612B7F1BD2DD820CA47E33E50E3B4D747032E7D40C5D4BB67981A43919A599FE91B969D0C6436DE509FF9FF3798D40BF4FFF9D4B4E93DD6930A28106F548F7D701CE780B1855B31ECF169DB71398CAA899F13767C40970601ED04AE4D0DEBEFA337BA1BCA182EF67E34EA0A9C78E4FAB736B16AE0BBDF204EC97C1B67762556CCC881FFF06E0EE29B660B50DEF56CD0E815A2EC1AE790E4B1DBC6E95D5DB63D5CE3EE7F43FEFF216,32,2048,0,0,KeyExchange,3.970007447071588,1.0,131.80859375,75.41431450591764
AES,FDA6504FC9BB85E3504DD15B37B5965E3709E60962E3938A81B9A35BB3F62BCC7FF870B2DF36D22431FB78A203B5BF835CAC212912E2F0EE4CA95B300CAFC98F,32,16,16,16,CBC,3.922114251062076,1.0,135.421875,73.04532083908164
DES,DE66397FC42161069CCBC3F194B09889C639E7E4AB3C30CFF05719ADB561B14995A6E2C3627BDD38ACA77EF1E6EDFFF4,32,8,8,8,CBC,3.911467059673168,1.0,154.3125,68.06833461370516
3DES,BEEE12A4AF8053A827DCC06F0892C92CC141F33AD3BC9394DFB77CE69EF5B2A7627CBC6ECB2328F1B20F43D8BE170948,32,24,8,8,CBC,3.9217234774316543,1.0,139.47916666666666,72.73009165839741
Blowfish,8D3631D31E7F0696D98F9464128962A00DB6C12DF727FA198D65A446935ECC527DA3343F8C8A56BFE28D76E779389AEE,32,16,8,8,CBC,3.9090871478917633,1.0,125.60416666666667,66.5218446525066
RSA,944C46700057F35B444CFAAD5C583639F0D0A6BC62C8D260F6257D1D149B1A12067A3ABB498C7585DA3FD8EED0577B0EC85BF2A6D54401B11AAEBBAF274B936724D0ADD234703292566B86B81612F730D8DAFF652B58E24A880213E0CE3CBE90603B98305FF070184AB79BA88AED1A9BF302A9C3E96383B6C13EFFCEFACD285EB7CE5B0924F693FA6E2BCAD71A19C31B6192F63AD8D5A95E75D005A811310D2CDB986CCCEFBD7FD3D0FE290C9F4349C17B73B4B5BFD2FD64FEBBF263E906836C1D290264484C79B622966C0414B4A8CC215026495673EC2178C413B1CB35E21F26AC3F09BE50B851D33D312A09CF96C971FC17904A1B0A7D3964517EF0CC0CB2,32,2048,0,0,Asymmetric,3.985827645982241,1.0,125.20703125,76.16321976066612
ECC,E202EB911784F1DB02F4102D0C0BC278E596DDF395D9D58F87D5A690D040AC40A929CA3EE8944C6A8D0E8B537369F67AAA7E01AB8D235A7CD38B3786871ECBFD,32,256,0,0,Asymmetric,3.9565641450565843,1.0,134.640625,74.73356156780818
Diffie-Hellman,97BDD72FD8BDAC5BFA1C470F60EDC6D6889585083E3945FBE98E99A3320752D658121DE2F57B14CF03A8947F4B318F945BC5A594C36EA69A047B1EC62011AA75952BA65E9979CB3E440E43B35B2FE8010031561E62631621A2A5F652A0896F89E963FDB1A87310A52B009B22775121C33E947CAB5C051B3D1FA0F300EA9EE60C39CFF47CA056FDEA0021521785936FEC437BDC37CB0EF9E8F8F23B5303A511BF99652F21BA8A857CBB74C8B5110458458DA8057D087EA0CFDF9DC28265091A6EC32DE89EA891A42425224F03C86D18E851E8145E1D3691E02643404F15C5EB1BBFC9253C618F28626C7C3A4C5F3AEA427F4B604311E4DE910ED6B85CC4259032,32,2048,0,0,KeyExchange,3.98155577861549,1.0,117.19921875,74.0720943111483
AES,C49CF858763F530F8A15E409C4BA724B77C192AEC16112841CC2D5C69BC579D7286CC7076C718A8BEC2BA2E701AECC21DF10EEE612CF9A0C3C786747DDC95FFB,32,16,16,16,CBC,3.8718048615564506,1.0,132.546875,74.70984073557094
DES,B64A222A0C1631A9CDBCE5FB1F0822D2D52752E629682DC3673F0456914AC716FBC78E076FABD72502CA35AEC783E2D6,32,8,8,8,CBC,3.896158562000082,1.0,119.14583333333333,81.38667724289331
3DES,D11932E347165735D0ABA8B1B2566D475428C88A016E48CA6E343C5BC89EC9B702B996516870F9FFB0849C32172E8009,32,24,8,8,CBC,3.946281997228249,1.0,118.16666666666667,69.4332213153201
Blowfish,70AEF9B20E2C1535FED0DA49D93F124D3486CD5ACC17D9A8895C83592DF72751A4821B357DF9A788A29FCC7D5B8202F2,32,16,8,8,CBC,3.865341670172532,1.0,126.9375,73.87134261956166
RSA,4FB5F10794179363421F00C226D634CCADA3EB29A8B9D9541F9C0C909EDACD770BB9A15FF3935F684E105222B6AFAA367D8275969DB8378C8E220E8FA4787BA1A3192A3F480A2131F7458BFEDC8742E73B332949D91B075FBDBE9BD89731205A8EB0A14EE3C8CC67C028CE492D376820B199CBDC2ACC7A5A4D181F52F921A6C8384E65179511F3E3897B59FB086BA57EE5AFF9DFF79187134EEF3721E17D84B41D158E12FE20B72CB523422F0772AC25598A3D073C8BBCC89857A52601333B36B3A6A243F8985C80AEBAABD4431842241504B6311DFD781E2909B650996CD70EEEE2DC181D236F4B91B6B5CC9D1B938699823FE1B28BDDB28ECF66FFD8B78000,32,2048,0,0,Asymmetric,3.978063888414472,1.0,120.8203125,73.18271585492263
ECC,BD4A07CD9D05B954DF8FAED38E67E1DE27191434789045F39D789364F0A0A7D8828B655561DB37F15339E16D73267D91347C33447CBD8C0619C16AE53D35F6F1,32,256,0,0,Asymmetric,3.907370274484324,1.0,128.75,70.19882477648753
Diffie-Hellman,D4A3DD542CF3FBE0DF878BB1151FE2DD321631C27D377BD95E8178E81C21AB86C76F3F3A63F7DA10D5C69D5D09854321305DB04385C1F22158717CF87AA4C1129CC882A508C7FF12AC8EDC95DAF360EC6E24B383E8DD4B788337971DDB1779D412677B1141688BAECB06813A3D33AFC6B27FAA9941613C6A2EC88C8D7CF5FBA1A0DEE6B4B639B1BAB01677A7838477EFDFB477B5696212C29927A842DF80447E66685B6EAC2CE140909096249D0442365ADDE3B7AF2317C6F0E9BBDC5BA576B6C28617CE723B6F19956FA831B02EDE9F8A054D3C6187A82AF4AED3CB8056E1E89715692E1D9CDD46CADAF49C5C7EAF98F64D0815F22D274205ADF01EDCA2B606,32,2048,0,0,KeyExchange,3.9782283257512088,1.0,132.1875,71.07415251868994
AES,CBA5B6FC121BE06B1550DAB0D346C3808A0942C9A56106A4BFD51C8C0F151F8131E115BC3EDA5AEAFFCC196C76E579F85DC81C50960A5E4FD651C1815077CD3D,32,16,16,16,CBC,3.836594580824569,1.0,126.59375,76.0075487102268
DES,F14519AE3859C1ECDCE542D3D4072DE4589DBC02064456616FAFDEB4411F2CE22B20AC36DDA1D9335E85F542372EB276,32,8,8,8,CBC,3.901856709877583,1.0,123.60416666666667,77.27595022152035
3DES,4D39F053B7111A4830D101B3374510719C0F67AC9D0DB2459AE0144DC87FC19ADD38C149DFCB81C6DFBBB815AAD63EC7,32,24,8,8,CBC,3.8417514357299236,1.0,125.27083333333333,73.69637586728551
Blowfish,196C3969C5D457D236321F9E86C3DBF9D1645739CCA88EE089C577D44EBBAD5F7C1D964339A07A4BEBBD7EBCB9E9DD78,32,16,8,8,CBC,3.860277957779684,1.0,140.85416666666666,63.70635420405269
RSA,1D74BE8F4FF95874DD32F3E5706522E51066CE844CF99DF235225EB26F99FD8DC1DD9E44474609684C6AE03ED7A83337D7B9B1CF8C9EEEC0C68986CDBBF7DE201FD9391CD5CEA61B6A5BF7AD6DAF0C7B91339BA21B05C73D353B8418E3C413E0A5F998C4865B1CC3C47D57280E0AA59FB2988F8A01A422CEA609FFE4065617729837A713BA450DA69EC8AF0435764FCE2CFA7A40AACA716BA7D2739196295E5EB59246839C350728031A3624FAD0E230F136F075AC1A257449B3914CD7B8B25ECEBF73CD6F80B2398721651F621F1FA6D1028A7D6C8F10B454864C9AAC30597F4A8C693945F5A5FC254116A1DE7D2278CFDA7A5E2D80F60D8B092C4A4D39C3FA,32,2048,0,0,Asymmetric,3.9917086531817847,1.0,124.62109375,72.13708320831742
ECC,E230D79ED65B95D5AC0F705C3412D8912614BC201E05D6C10029FCB31F4C8FCDFCD0A0DE4D762BB56929EC853EABADCA17968F5198D407BFFA3575B4F0EE9AAF,32,256,0,0,Asymmetric,3.9555097352665634,1.0,133.328125,76.98377562177875
Diffie-Hellman,2DA4005678A93535C088D62E6643A6BC22F1F02609383E8935723C5E10F268D4A811B7E14E6D089F851AD0DD2C9563EBCE6B1917BC676C7D8B384225600DDF253973F46F0E06DE7C06126055C4465D11BBD56BC1562B3718B139877A1584DB149A034D8D17EEDFE9191CE3725702B77A039B41CAA2FC1B00CCF2063BE565B0905632FB0199788088C21BA288DFCF5A1A154A5B828A1B764328666380C04E14087E0F47DCA836E9A4B376135BDEF0C1EA728A66B327A3B57D59EA00EEE8BEC387F1A2BBEC5C3B16B4FF62DF353148C6D083F98348858D2E438D754705D1638F11CE3B00B6E08F4FAA2AD7DD8FCBF4D8C1F05F4E2E24EFACBDD7D13CCF4C0BE3DF,32,2048,0,0,KeyExchange,3.978720759995429,1.0,122.23828125,75.66363849826347
AES,1D334C81EC8930959B6B65E2EBF15083102EA5CA81E969487C0F829F59302841A3CD0B355592464A1B64A3D7B50D4B49339C155F02493FE35483654B170740F8,32,16,16,16,CBC,3.9006158050293807,1.0,106.9375,68.37874189943831
DES,EB95EDE860DF07290BBB9E399B16B1CBEAE32E369676D4BA1217125B87ECCA4D0F81BE2C65F0E4DA11B779816CA9DED0,32,8,8,8,CBC,3.868214469758385,1.0,136.22916666666666,78.40579261746049
3DES,10387736E9B0C12B5E620C4D4888D29C088352988657FACD0032768BB457F7943D0DF24A64E88B2898A26C9CCAE726E4,32,24,8,8,CBC,3.8808407504600226,1.0,123.77083333333333,71.8047815211881
Blowfish,067C856693C88C2C7D93502493B2BAC3AB7C949DBC4A49566DCB904019EF81B692B2105E2E9561AA735B2F58E25CEC57,32,16,8,8,CBC,3.8907776862591517,1.0,124.66666666666667,57.846540278760166
RSA,0788069064E47282B1FDA54140255A67ECF761F188161C7F6B864C3A32194FBC440EFF812C94DF96F64C769F1AB00A0358D0E0D34405639222EDFC79B3FB129193E01FEEECD52B337326330F11DED8F01C3D449D21D3124ABCB5D0DB9AAF08B8570F69483880B9A57FB153FB7CB6F92614E8DECC447911947B7878FCB69C8697C4DE3D4DE8ADC7355261FF43CB259FE624514E7E6AA91F9D56C79E21E357A25334BA9AEB8C411070C81BBEB8A1035D7BB633FEBE822F0449B9E63F2715F1725A720981A144EA3D8324C37681B1239EB3BDB06E162F2092FB4E567BB62719DD2F012CCB447BDF0A64FE31517E41A6CCE5873C653FAA8CD847E7FE508E5047A5D0,32,2048,0,0,Asymmetric,3.9858787855365194,1.0,125.14453125,74.1935194573473
ECC,A17B6E2CF0C6D51763E8C4358751C01A2693AB302366C09D32E6D7747CEC71FE1BCB950CDBDA1BBD29B8381D82FF1317166C6FB6A5F4A029A90405D7F93B7C16,32,256,0,0,Asymmetric,3.9344083710635975,1.0,125.234375,78.93227757615622
Diffie-Hellman,D10228F8C0AF07D6EB3FCB60ED5CD1BB7CD759D612A517CDF4554EBD3F6FE9303353821C6BC48142AA1AEA250D42C5A17FB232663C88E0E0BEF63B4DD061F874F4093CEB6C302496EDCDD54B9FE698CC5293C6FE6BF84E639537B799CEB8C60272DD9B69FC99898BA129BEA704171DDC8B25FD8EE239EFB8CCAC359A15C02B4BCCC5DFE1CECE7899AF8510370DC7ACF1FC9C6E62C0F82DE3A0414CBA9E4644B5DDEDFFB88116CFD63136F2C533C2080D73F9B3CE76DC7EF9E147974C8D942C95F9DB0329E6414807F446D0FD4CAF8BAB260E924670B1AB7DF8DC2F4DC911D4B0F5F79869D995F8C356AB700BB13B459FF64DA24D00DB0A0C3F1C4C354B1E2B38,32,2048,0,0,KeyExchange,3.968554958966643,1.0,136.85546875,76.6422710028074
AES,D09EDEA8C55AB01A3177523B14866504F0FC573BEE9C4CD6EF8EE63EDB6ACDD8000B005E0A8CBA2075329744CD91B01D6060880CF59E9A1D32CCC4FDC12E5245,32,16,16,16,CBC,3.9236505364545864,1.0,124.796875,76.67548901203288
DES,2DE82A374ABD7752068C29531E3B9117DF8456B6FA149EBA2110D9ACAD86EC0C72BA87B2E61ED49A6C30A2411FFD9F2A,32,8,8,8,CBC,3.9321318772754905,1.0,118.79166666666667,74.69380784613645
3DES,5A2CB9B3A56A0ED5B6CB71CD050DEDFEECBDA48E787A6EA7225F6CAA070BB61FD781EA22B3A89346BA12E7B4436C122E,32,24,8,8,CBC,3.879663733952417,1.0,127.625,74.45346001586047
Blowfish,A581AD82D8C88460D6832DB291B000B60EEE83F5A1DB03DCC0A6E43D732B9EF068C72D0D3F250C150A3DC7B902E3D886,32,16,8,8,CBC,3.8364472276464063,1.0,130.70833333333334,78.01227423012071
RSA,199539FE92441596A2ED8CDE5B3270D09B104CABB37BAD9C73F92F413E51D2856D4DFF36E1492A5B5E4B6B3BE42ED6BB98381622459C0D71BED3F68615B6069A1F16C9420853EFF04E56676CBF308911F7ECF109D3F0326C7390BE6BC2B05EB1C5D8CBAA374E8B3EC054B951BB236FEECFC5C9CF985CA2932FCB2DBC285DCD7A6ED578A5998F7B2A5F2023FCC531D502C80C6D071EA1CE4F197BD5593546580B93F33DCBED9F878001E0AEE1113B654CD631AF90D4243E4E2257DF29238D67924D2E5F324CAFFF79D74B864A8514E95673BAF2B9EE84CF6F45F2AF98228F3C5C90ECD1AE518E83FCF4B18AE4698763E11B8BA43C3DA85B9A33CF41B24D40F03E,32,2048,0,0,Asymmetric,3.977095330935473,1.0,127.7421875,71.05337409451323
ECC,CDB664AD16F004A0CCA65A4B7AF3C8CC23A06712EB3E2B3DDC0E9914D9940E845D5A5A3B7BABEB7E0D0FC02B4DD88A6E1B5CDBCE9FBAAA580F180F3F4DBC281B,32,256,0,0,Asymmetric,3.9052243864479745,1.0,115.8125,74.11791176058591
Diffie-Hellman,78917B6A7BC69FCAC2FCEDD336FBFB62F1D36126C8DC7190B4F1AF9210C788DC667C4CB6D6D799E914CED9D6FAADF0704277AE8D51F7854A0705028CABE3FB5E0A5BA6881DFA366E11CF6D345EA4B40E0A84097982FD4561989023D7AB9F7EA15A2BD7E20CDD9714E1705F2CF3BE9779DB888E104234398DFDC8D7894E6F5E149BA221CFBB0D51FE2EA1E25F54427B8A6EBEF6360D9E502AE025CE6D1175DF7E51307AE09D7F836A9F6B91ABC537A61F7F908764493B432E087087D18F9DC5085EC62C7E52B9DC949021A223A593AAE62A74D92DB237615FE25D5959012EEDF2534837E3CAC992EEF8FBDBA82A5DE7226D937416AD7F39BD9D9D88EB10E5264D,32,2048,0,0,KeyExchange,3.9796716483509873,1.0,132.82421875,71.4401270799692
AES,FB763E99204F005DFF41ADC981498081F9A454BD6BD6660953B8F18874D284D283E7902B02D5DFA1A6E5561F10E76CAFE258CF2A0232D15E3917EFD26BFB4CA3,32,16,16,16,CBC,3.9558649937476735,1.0,134.453125,75.22277948025037
DES,AE5E3BCD862C66742A36533F1F6039E846AF85371B3B545B552DB7FBCCFF856772C31FD137154E402752C14E990EB601,32,8,8,8,CBC,3.911438476728807,1.0,105.16666666666667,66.82668296089187
3DES,499231A201D5A9F645A854A7FB38A995061EC680CA6D9014FAFFD12811F8489FD31B4FD09ADD11D6D49C156608765584,32,24,8,8,CBC,3.7876883361774847,1.0,129.66666666666666,78.4071460745483
Blowfish,FC613F83A48643E6522967B33F906B914ED4250D78FC12E4AD8393B66E2124269A54020CD9A68637385E99E0BBFCBDB6,32,16,8,8,CBC,3.913197910503184,1.0,124.39583333333333,70.96088699163003
RSA,8FE8B9DCF8024E9FFB5F181DB9996C1B6F827FFE26D63F60C43111B290B34FF3FB31B52D8E3E9C8D110B5BE2E23CA193618CFA1E82140FF6041BEBBEA2C727AC569D6B933023E32EEB7B0785925A23F982B6C6424408A443B1AD4E9C7BED0142E145CC286A52B12C2505332AACD00160BEC18A42D217C9E67BC46926417BA9529876A44C5EA9D63E239F40B8A516F7D678B58E648CF23B54C1339EBB02F6E23D4029859476581EE4AE19A8347CC8EEE741A740056EAF876BA8D638CA40611FAE959E886C058DA7563EC4B8723433D984DEA118704013086DDE9DA2FBAD369B35395A06BC847D4262736AB145D7EC122B2433147DF8929F4B049C33E02325709A,32,2048,0,0,Asymmetric,3.978537438890927,1.0,121.71875,71.99228881232698
ECC,48FB415069021C12F8BD399534BE194A6E44FB61FE241ABCCDA464B2AE3E6BB88592CF6702B40DAFFAD423ED8D529CABD8C4291458E7721C736E12F19E6F1C6B,32,256,0,0,Asymmetric,3.9216510226414787,1.0,123.03125,75.69902755939141
Diffie-Hellman,7E0EAFF12C3AC5E9C4F873D8C739A8498ECBCC5B76F193C44B4B8452515606170B34ED44389A41E4E03C9A08EE2F5D8942B1CCD0CCA1F8BC54F150FEA1E724642D1EDB3E62B9F483FF81414834CE9271C5BFD6DFF0EE091F91179DFFDBF8D181289B2CDCBAB86A613F90C248ADAD0725FD4112AF25B1F048E6CE77B4D9DECAFFEA58BFD1E8BA3AD0AA2F25DBE7D7BCB4BBC212885552188F31AAC0A5A80D86BB6D4AEB05BB6D174F19F2531D5EA28841E960F2B5F9F63B044BD55615D6C886EB58EBC2EDA5A3D7B49AEF14B28A5D0E2BA6B4E06BCD39B6713151EC4F0E416AC9F8DD0BCFC453695465A202D90741BEFD187B13B6818DB262422FB521287FDC92,32,2048,0,0,KeyExchange,3.9595784162375427,1.0,137.46875,75.81344676861421
AES,FBA0C8BB6736D6614D405011733796A85CF3192A4D2C0DB25F264716ECEF056A5437D4B2A346E6ABD0EED4FFC82F0731497A608CD2B0386C67A456D0C7FE79FA,32,16,16,16,CBC,3.9375724906984857,1.0,129.109375,75.21139316692236
DES,516598BC90A41405D358EDE159003A4AFDF5EA8885856C49D950CA789E30C2BB7E86AEC02BD3881EB8453C5424444B92,32,8,8,8,CBC,3.8476216321157213,1.0,127.625,68.36654426691464
3DES,5D63DAC4D6730C0D05EF835248BC2392EA056B4D0FEE5E39B012917AB20A4B2B03BCA96F4D26D6A7A9B6CA2D376C75B0,32,24,8,8,CBC,3.8878465227114742,1.0,114.02083333333333,72.53289184435953
Blowfish,38D58682698AF6387987849508E293566C7B1D0E79CB3207D9CD7AA8B7DE2104279379D24D26D1A65A97CD8A782932BE,32,16,8,8,CBC,3.8082308751769913,1.0,122.5625,67.41411395558549
RSA,2C6F99A4FBC624FEA561429AA0A931D9C248ADD3985372B400C711FC6B20BC54E8557CB08BC6253E6AC981EFFBB0B1AE00AE3A2FEC2D033F10B39DBB31D86CB8381D7471657BBC733E3A891C0F6DE6F6EBF3B8BC1A20395EF817024A09918B1166550402EA58CBDFCB2A3B9454C0542B6CC8E619C54C3AD0F02F1EBF6DD1EEA8FAA1F70F24944241D88652B3CCD09C9556EF5054BF676E04F3F594CFB830F3BE605E4C292AA0A2B469FB98CD5849B764EDE6FD2CC5CB63293BDB122B44D04775E5D05C29F6039A590AB8D66ECD2B4E94AD1F418BA06AED6C845D46D6B9477CA3CB01F70F45B8ED42358B66277030F170B223B73012E662EEB769EA62ADC833F7,32,2048,0,0,Asymmetric,3.9801811678570065,1.0,130.0546875,74.97872704492484
ECC,BB3AC460218023C595C5547B6BA03EC88D30CF595048A85D709B6090989C1033DF2AC53CD91978B5AB3AFC1DEB67B61E7F48E95932204712686B0A1BCE002C4B,32,256,0,0,Asymmetric,3.9256172277472845,1.0,112.21875,67.42159074389672
Diffie-Hellman,74520488BA9F121E3754186E01E9A857F79B3004AA30F9F1AEB131A0842866B1D1BC077C1EB13F74732BE794051D960D17B25A4259F4E03E29D731D9B133D3A49DBC4D5E7F1C7C35D54000FCC5AFEDBFA3E1298BCDA16D2E725FDC50FBF634063353B8F4BB5CE07CA1CB742F491AE13DEA3D78F7D4114F9AE6593089FE74E5A1EE1BA51243CAE879569B4DFE5C6F70A01774EA50148DFB9516010E61F817ABDFA9F80D30C41A0287BD7B2038ABA734186EA1EE906DAB117CA8FC999C4315D54077F42F25F8CA9131B24F58789503EAE5A012EC389057F95F8069F01285CE1F38041567F6BD6905B9098585FC2B48023F1ABCC6FF3304162497EEE44CDF4553CA,32,2048,0,0,KeyExchange,3.96989371519276,1.0,123.94921875,78.09120118499041
AES,8C521C2950B6A657985E98A59B187FE5DDC3409F1E39BC3E06F44C44B8440C73E941023DCDFAAD8030FEDD8A8434317E133E31C97EC90D4CE69ABA77F41A9958,32,16,16,16,CBC,3.9200155732595334,1.0,120.890625,72.57563235762659
DES,AF5F63B4EE18809E21636749F631F6C69EF7081F5A744FFD7D2B4719A781C33D8B4335C6EBD53BFB2C648A0031CF202D,32,8,8,8,CBC,3.9429926855563044,1.0,120.25,75.85608633019062
3DES,D369AEF279C00C912BA323C971CEB688D4A525889CE42D3521577CC16EB2BF4AF2D227ECB5565E5A434B92410AFAA553,32,24,8,8,CBC,3.9100034150278677,1.0,132.125,68.5485305580409
Blowfish,747AA0454971DC59B06B0A88E511F43DDDE77A0B6DE7C8D589BC17F91D9E31205BCC064EBFBB9BF084BD259DB1F2E423,32,16,8,8,CBC,3.916225609822214,1.0,135.29166666666666,75.91002303531612
RSA,8B8038C2635577A9F95ACBC3FC5DC576AC9C791C50376BB13A792BEF8327AB8C7A8BC14FE212F7CCA140A6C96ED44EB8291B6866649FB6ADFDD3A19631E1C16B6D1A10FD3559D4EBECE8E20404E0E00A39898ECCC185FCABB91D5B534435DC8CEF09C32B7BD038110711842AEAE4E3CBB91DCBFFC9130184269FB0D8E73393FAF086FB19BFDAC8FBCFDF5D14D767B5AAD71B60E248343B1F92BDF311AB19BBC2FB147E8D61460715C936152ACEE6DDCB32232EA9B8A2385EBB9B27439AF35D41D1690E9688C4C34D461BD36E02E0B318DB5E2B9309CDFD7B45651C6644ABE9354E26C2E96E707FEC75654B815AAB1B2F8EBEB720501424D9DAFA6554CF53E29E,32,2048,0,0,Asymmetric,3.974988173560624,1.0,131.9921875,75.8178322623698
ECC,27E82A12357EE44FEBB8F25967FF8369F3B9C6FDD11E84C625EF9AA385BAA02EF93F1062EF9415955CCA69147F80A842D0F16C4DCE683B49B7518BB45C38C13D,32,256,0,0,Asymmetric,3.9550295201116534,1.0,135.609375,72.0103328495944
Diffie-Hellman,52AEBFBE636F3DBC0A072D193D5A9EF8632F9C565417818026D6594F9EDAB5D9B99465A5E778926C1902187DE4F7EDA212936E2BBB991D927C40067582C7C2E074088812DE8C7DCC164E25FED18FCA9D0BAD5F4188D30F7B259C8B93E55F005387E6174C99A09FB0C68981F1A52F0EB59247883738519245C19A92911CC0CEDA31A872992F59B2BB68830F8DE98C44FECD092CE4ED5E59528723888800685112AE41588628B70883F51493258B04AC6FE4552AF7EC8668ED14AE51D8CC4470FB03CF1542DCEF6123663FCD78B59389114E3E2F3966FCEAAAF53D417ADC60E8587AFE671290615601268D63679A9F0B9A29EBDDEDC75058AE48BA2C63CC81BE23,32,2048,0,0,KeyExchange,3.972142431277368,1.0,123.56640625,71.25676697837169
AES,2CAC41C68FC9CF5DEE7960F317C61F49C19B38EE381C26892A739CA2A73A27C75A6F904D30854A84CED3E76F4097D8EC11D34EE5B386CDE071A152FD10F9015B,32,16,16,16,CBC,3.9426008167414786,1.0,132.234375,72.2694053065291
DES,28C3796ADCD38482AB5C3263FE17CF7403C0F627419EB2F7432FC7287811FCF351943BF0F16069E2BDC70A5442780C38,32,8,8,8,CBC,3.880813183372666,1.0,129.41666666666666,77.66885726524428
3DES,ED54A587202D6014EE430AF7D83F8459236DDCF76AB4E0B60DA048A126A1482474C6B25FCFEC3422D826EF32CBD94A20,32,24,8,8,CBC,3.881155808666488,1.0,126.60416666666667,77.5458841545156
Blowfish,55B00F042253D4EF3FFF529A9388EF7D54E95E5C8B4285F65EA1C2B25A90B75660926616F3A126B4C850385CDE9C3CD0,32,16,8,8,CBC,3.887756993249152,1.0,131.83333333333334,67.64470086825395
RSA,1EAFEEF8F3F74CF1EB7AB2DD95A41D091E6BC492F5F64E9DF055A6479F18AB4C410650D5527C6A6F0FC965738512E158054B98CB9F6CF406CED0A6B12F68CAAE07E2AF02AB772D08C262F249494AB61D2375B06913ED5C85E6A344FDE7E2848C383780D2391C164B2726056542A3E81C1F646D3559825018A12E95911B3B7436C56D0294B91FA4F698ED1E290DA232D37D2C45B78A43CCBF158A46A46BC0D5C4640863E4333E8276F1393BC641EA4B2115C1A2D3E485CB6272FD89B273499EBDB1D8092250C0386F2CA5593712B93D21AE3EECF86CB9E7510751D1BCE187CC19E215FF2A6BC11A7C53518DC6E63A19EB492467D47E7F2CC149EA9816F6A0ED7D,32,2048,0,0,Asymmetric,3.9833942084807212,1.0,124.71875,74.6860028615637
ECC,6A9CF5A4CF1D82B01B13F74774B5275A53D2D103E144511B5775A23C061F3BFCF6F49F8EC37487FFBD3E1DEB8CD0A4FAFFFE16CFF1CFDAD4E3A662B6C2D30E5F,32,256,0,0,Asymmetric,3.8777181072619897,1.0,144.609375,79.30964182941047
